subject,overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
CGMacros-035,38.07191345238486,,26.625575980071762,39.75810833428189,26.632961176233252,,18.75720651897122,28.028664533216396,81.50959308454566,16.311757677981586,1.1947431302270013,0.8995712980532715,0.0843348091924942
CGMacros-021,30.473465384866884,42.506265680351824,30.00896050633336,46.19345779708084,19.57663405163054,35.61129476584021,19.12521139747958,38.73024242424243,74.09020654770269,25.34073345510749,0.5690599971898272,0.0,0.0
CGMacros-009,24.942604496837177,42.75727250077073,24.04122768613152,27.668373398227853,16.89786248722767,31.653390107627697,16.146310657048552,22.64624163715073,80.54282692985548,18.131829397250616,0.338385618611209,0.958759252731759,0.02819880155093409
CGMacros-008,33.85641229469523,59.92441913012271,30.85507767604175,65.93856273511813,21.283032643741272,37.919307827711734,19.47171612938238,56.151454179623194,71.6200014105367,26.92009309542281,0.7405317723393751,0.5783200507793215,0.14105367092178575
CGMacros-020,31.045743994711568,,28.439939552321416,36.527865547184156,21.234887018278897,,19.135643429813832,26.25177423195999,78.47407615568358,20.75312631726851,0.6112125895742588,0.0351271603203597,0.12645777715329493
CGMacros-034,29.784358054083487,56.50992792962177,29.611738033339805,,20.764151774879608,47.817171717171725,20.643882192185064,,65.722916959393,33.76422649992975,0.2037375298580863,0.3091190108191654,0.0
CGMacros-022,30.877204400796906,48.045755060413974,30.731775034159895,40.46146525343027,21.760370176402212,39.25171385991058,21.619553605371166,36.132386363636364,66.50976535056905,32.57692848110159,0.6322888857664746,0.2810172825628776,0.0
CGMacros-036,30.28923561137576,16.31058744277143,22.005315283216884,53.32113222703873,19.86288783578372,14.077104377104376,15.36610313570027,39.792140115495,78.08767739215962,20.05760854292539,1.060840241674863,0.7938738232401293,0.0
CGMacros-023,34.71453926889538,,31.603674318986258,49.34027668833041,24.232488169698435,,21.647839446064307,39.6341620708059,69.94516310461192,29.20416197975253,0.8225534308211473,0.007030371203599551,0.02109111361079865
CGMacros-027,28.75533206825793,61.344792868314364,28.537344434869542,33.82017518658316,19.707054988413667,53.14278074866311,19.469383858892915,26.729421487603304,73.3926176864987,26.240383936763358,0.27524878255346175,0.09174959418448726,0.0
CGMacros-033,40.34084530788728,21.46850878429817,34.22877509751118,62.721989214681614,27.983269108925377,20.045454545454547,23.945077182450948,48.39489506380421,65.24622548327925,32.70071962748695,1.5098066883025258,0.48680682940595454,0.05644137152532807
CGMacros-032,44.346072649320774,96.68948749093309,43.364161802004986,72.01865345121472,28.806364576498005,78.4717583710788,28.18455599420699,59.80074515648287,58.854204921042964,38.295997062063904,2.1373485126698495,0.44803525523319865,0.2644142489900845
CGMacros-026,42.39099643843003,,38.45397360039128,68.72053359127763,27.673770828094604,,24.78384621028689,54.23620852441327,67.62265249672441,29.145436016887466,2.940748289416218,0.24020963750181978,0.05095355947008298
CGMacros-018,33.025356912914724,,31.315064317233766,46.01337496467592,23.366490768635018,,22.247931836349107,33.80136939868484,71.56883979496065,27.882463360046206,0.411522633744856,0.0,0.1371742112482853
CGMacros-030,37.486631090680994,,25.75162611129715,46.975751535717315,23.642954854322536,,16.166816768690992,31.7172278866172,81.9676759122027,16.126755593196414,1.1645140800338767,0.7057661091114404,0.035288305455572024
