subject,overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
2080,20.97284840561183,14.717138535281466,17.71924283489275,52.5383736351379,14.253690116529997,12.394444444444446,12.478396032418047,45.66901408450704,78.77643504531721,19.637462235649547,0.0755287009063444,1.5105740181268883,0.0
2094,16.219775978206226,17.502571239677906,15.824586869539393,16.794474955396232,12.174118529632407,13.533333333333335,11.723687281213536,12.882543640897754,90.09752438109527,8.552138034508626,0.0,1.350337584396099,0.0
2043,23.049926194263087,11.680753400359071,21.59115613522847,30.196648820688697,16.564146341463413,10.114285714285714,15.392441860465116,23.3744,81.46341463414633,18.048780487804876,0.0,0.4878048780487805,0.0
2057,24.140323724179776,19.57758458497417,21.740782168812164,33.49054664059269,17.09229508196721,16.345454545454547,15.307793522267207,25.566190476190478,79.83606557377048,19.754098360655735,0.0,0.4098360655737705,0.0
2056,20.064508510784894,10.132029572391403,21.158873112536146,51.06412635108919,12.663523131672598,7.554651162790697,13.48839662447257,36.85000000000001,75.80071174377224,21.352313167259787,0.0,2.8469750889679712,0.0
2042,24.930779613800663,,21.824416294137276,33.589113157796724,16.654430379746834,,14.072312703583064,25.66250000000001,83.29113924050633,16.455696202531644,0.0,0.25316455696202533,0.0
2095,32.09167645656288,37.48175111526497,33.76165681021648,31.211598464150025,23.01166378938282,24.88333333333333,23.228640441683922,22.886621062678966,83.00604229607251,15.709969788519636,0.3021148036253776,0.906344410876133,0.0755287009063444
2081,17.383786589354187,17.07629936490927,15.146461733035311,28.084932218567292,12.693914473684211,16.200000000000017,11.252840909090908,22.28101265822785,90.54276315789474,9.292763157894738,0.0,0.1644736842105263,0.0
2097,19.06564761341505,,14.489169152414252,24.26364564528587,13.581381381381382,,10.351641414141413,18.318333333333328,92.64264264264264,7.3573573573573565,0.0,0.0,0.0
2083,19.259881011866398,14.409371950227396,18.42529268040445,37.35283682138012,13.368024132730016,11.27857142857143,12.903904382470119,28.274418604651157,83.10708898944193,16.36500754147813,0.0,0.5279034690799397,0.0
2068,19.184852212312205,8.716077099245966,18.86143189946982,22.537154508352057,14.478951548848292,8.1,14.193350831146105,17.707207207207208,82.84352660841938,17.077045274027007,0.0,0.07942811755361398,0.0
2054,10.782846955305377,,10.320255101965735,30.863543758507916,7.1713461538461525,,6.936575875486379,27.283333333333328,95.1923076923077,4.807692307692308,0.0,0.0,0.0
2040,21.242872104992564,21.008703934932328,17.770244169832097,45.72934287741296,13.787957381186036,14.41025641025641,12.260031570639306,31.901333333333334,84.98527968596663,14.22963689892051,0.19627085377821393,0.5888125613346418,0.0
