subject,overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
T1DM_06,52.014374800132266,55.16444380683482,47.88633423851446,58.07933360385107,39.584527541424094,45.35208098987626,35.94971428571429,44.581095596133196,54.937304075235105,39.42006269592476,3.526645768025078,2.037617554858934,0.07836990595611285
T1DM_07,53.67521425370044,44.533963700781165,53.180034110694066,58.59441108908418,39.46149062087019,33.641269841269846,38.161891472739555,48.67883045260434,46.467165419783875,47.547797173732334,3.99002493765586,1.6625103906899419,0.3325020781379884
T1DM_05,37.88534539792492,23.020558064237946,39.80496519932431,38.57300972383879,27.663109070784376,16.961760461760463,28.977506749115037,31.24194880264245,60.912698412698404,35.648148148148145,1.1243386243386242,2.314814814814815,0.0
T1DM_04,45.473037010579695,39.6324649387516,39.50380141996352,77.12521729947731,31.69029575588152,29.434210526315795,27.71361213129674,61.46632124352332,57.450628366247756,37.82166367444644,1.9150209455415919,2.6929982046678633,0.11968880909634949
T1DM_10,30.32511829535049,,27.8272702217171,32.699699129032545,23.424374539797025,,21.640679240188252,25.26212121212121,78.65671641791045,20.8955223880597,0.1492537313432836,0.2985074626865672,0.0
T1DM_03,54.32048565075447,60.28839212952946,53.38420968967076,56.568713955437865,40.25870437469628,48.753383458646624,38.56382042225648,45.456335184250385,48.72241579558653,45.99303135888502,3.6585365853658534,1.0452961672473868,0.5807200929152149
HT_08,35.79060583353441,27.542766650963102,36.05226971135188,,25.28740930291553,21.52887537993921,25.422670477785275,,54.17590539541759,43.82852919438285,0.5173688100517368,1.4781966001478197,0.0
HT_09,29.52132736017222,62.22479546023456,29.20287850311631,,21.181769567027793,53.6984126984127,20.97910350872969,,58.98141775636614,40.39917412250516,0.0,0.6194081211286993,0.0
T1DM_02,46.908865628785364,34.68537694979918,44.56334627487214,52.85763103009461,34.776459636134014,22.171428571428574,33.705523713706704,39.1869752212956,56.50741350906095,40.28006589785832,1.729818780889621,0.9884678747940692,0.4942339373970346
HT_10,29.235295595810797,28.111063956508495,29.522384016941892,,20.94316455821392,19.250717350089978,21.38599124707789,,54.11931818181818,37.35795454545455,0.2130681818181818,8.309659090909092,0.0
HT_04,38.34445470378329,46.333302910887994,37.975757605212266,,26.5520489599323,36.996138996138995,26.11761238731887,,52.34754452239612,43.820831084727466,1.2951969778737182,2.48246087425796,0.053966540744738264
HT_05,36.86041042381094,31.1445825976028,37.535990713971444,,26.40456718003187,21.611317254174402,27.024349286314028,,46.61710037174721,46.54275092936803,0.44609665427509293,6.245353159851301,0.14869888475836432
HT_11,32.79606748291943,35.673219382226236,32.21303644776264,,21.677823762095777,23.757956851537145,21.27760413777319,,58.91525423728814,32.271186440677965,0.47457627118644063,8.0,0.3389830508474576
HT_07,32.317271207285465,54.549773288650606,31.854264161111765,,24.322576291497075,51.24812030075188,23.908337152893154,,49.282296650717704,49.282296650717704,0.0,1.4354066985645932,0.0
HT_06,43.114940045015516,26.545934163097957,43.5244283773121,,29.469019900419884,15.081433775696071,29.911261277204428,,52.286282306163024,43.67130550033135,2.584493041749503,1.4579191517561298,0.0
T1DM_09,61.95934938764407,51.57777021388483,59.10312193640417,66.31566704985856,44.16288384512684,43.278195488721806,39.79057337220602,50.028957528957534,55.887850467289724,35.88785046728972,5.046728971962617,2.6168224299065423,0.5607476635514018
HT_02,30.789665305903853,23.860575593836227,30.93428688455684,,21.500238516988748,19.003759398496243,21.55908852102269,,59.333333333333336,38.78787878787879,0.6060606060606061,1.2727272727272727,0.0
HT_03,27.9175690385495,24.861071453154178,27.938828976035026,,18.209653242727015,16.03494078736798,18.22566188481063,,66.83530073074762,32.152894884766724,0.5621135469364812,0.44969083754918493,0.0
T1DM_08,41.303963396304056,,37.907577718136224,52.919285030995944,31.406664726062363,,28.62941345797842,42.70459845609092,60.40268456375839,38.65771812080537,0.5369127516778524,0.4026845637583893,0.0
HT_01,36.6678599246135,49.354695363073134,36.01837384062871,,25.68880053601205,32.294117647058826,25.403074350546927,,53.41463414634147,43.90243902439025,0.548780487804878,1.951219512195122,0.1829268292682927
