subject,overall,< 70,70 - 180,> 180
2080,20.97284840561183,14.717138535281466,17.71924283489275,52.5383736351379
2094,16.219775978206226,17.502571239677906,15.824586869539393,16.794474955396232
2043,23.049926194263087,11.680753400359071,21.59115613522847,30.196648820688697
2057,24.140323724179776,19.57758458497417,21.740782168812164,33.49054664059269
2056,20.064508510784894,10.132029572391403,21.158873112536146,51.06412635108919
2042,24.930779613800663,,21.824416294137276,33.589113157796724
2095,32.09167645656288,37.48175111526497,33.76165681021648,31.211598464150025
2081,17.383786589354187,17.07629936490927,15.146461733035311,28.084932218567292
2097,19.06564761341505,,14.489169152414252,24.26364564528587
2083,19.259881011866398,14.409371950227396,18.42529268040445,37.35283682138012
2068,19.184852212312205,8.716077099245966,18.86143189946982,22.537154508352057
2054,10.782846955305377,,10.320255101965735,30.863543758507916
2040,21.242872104992564,21.008703934932328,17.770244169832097,45.72934287741296
2041,21.2612918774881,,12.349961249216243,26.44406610329568
2055,18.422534024908323,,17.541822088401936,25.80281453824831
2069,16.99653327696234,12.769282338039655,15.386757009264036,18.132318188620484
2082,21.29724149277402,,17.591396512794496,39.37659140165922
2096,21.435255923899152,21.15395944025609,19.643170013543166,27.567599432332486
2092,19.921661146383485,,17.63271423987153,43.547635157121654
2086,20.887394842723417,11.730879311107284,17.279386010796216,27.34025321358843
2051,17.327421572025866,10.357605900979244,16.339522370753308,33.10002961908514
2045,20.955540679195593,4.866929216662183,13.471738187962753,27.630827910265577
2079,21.441910528412198,17.0587658178448,18.63226328819691,41.557791086630196
2078,19.117828325408446,11.09999999999998,17.367674199912564,37.03824727233038
2044,18.424394633476098,26.473099554075645,16.23323480049223,22.988118135658567
2050,25.640733898978795,,23.145231928116196,38.78581167772566
2087,13.211941182320539,8.038470003676073,13.18125712529778,25.295764749967816
2093,21.873740871879573,10.023205398705867,22.082297144209434,44.01847465679736
2085,20.140307135548923,13.866788399367046,20.466583763672283,
2091,24.418558608110985,22.20572641717189,21.213413627000175,38.02522104994836
2046,24.856360735267568,27.27517622482462,23.32864714398012,43.306190858428856
2052,27.176142867551242,15.98759340417259,22.04513133401524,36.372784888147905
2053,17.48710617849465,1.7642278764377295,12.746914370421212,22.81366235798297
