subject,overall,< 70,70 - 180,> 180
CGMacros-035,38.07191345238486,,26.625575980071762,39.75810833428189
CGMacros-021,30.473465384866884,42.506265680351824,30.00896050633336,46.19345779708084
CGMacros-009,24.942604496837177,42.75727250077073,24.04122768613152,27.668373398227853
CGMacros-008,33.85641229469523,59.92441913012271,30.85507767604175,65.93856273511813
CGMacros-020,31.045743994711568,,28.439939552321416,36.527865547184156
CGMacros-034,29.784358054083487,56.50992792962177,29.611738033339805,
CGMacros-022,30.877204400796906,48.045755060413974,30.731775034159895,40.46146525343027
CGMacros-036,30.28923561137576,16.31058744277143,22.005315283216884,53.32113222703873
CGMacros-023,34.71453926889538,,31.603674318986258,49.34027668833041
CGMacros-027,28.75533206825793,61.344792868314364,28.537344434869542,33.82017518658316
CGMacros-033,40.34084530788728,21.46850878429817,34.22877509751118,62.721989214681614
CGMacros-032,44.346072649320774,96.68948749093309,43.364161802004986,72.01865345121472
CGMacros-026,42.39099643843003,,38.45397360039128,68.72053359127763
CGMacros-018,33.025356912914724,,31.315064317233766,46.01337496467592
CGMacros-030,37.486631090680994,,25.75162611129715,46.975751535717315
CGMacros-031,26.855657196347767,57.87206547393657,26.64178324555837,38.44382703879277
CGMacros-019,26.946307430622948,,25.711868116245807,50.66395892128422
CGMacros-042,31.114713393648948,,27.593324665308938,42.84557437058563
CGMacros-043,24.242439837395974,,23.350674897905773,41.7449025041934
CGMacros-041,30.688284851980995,,21.810685573776507,44.906519808760834
CGMacros-044,24.90203073059286,53.90809365933349,24.630618612869796,28.60079140021243
CGMacros-045,37.596670191376106,,24.858581087007554,57.887574667426364
CGMacros-047,33.54334278267878,,26.883820411725207,37.05883850744702
CGMacros-046,35.69305239021535,16.840934775955674,31.823949853061382,39.82299408525877
CGMacros-048,39.555155418670914,56.44650883728091,38.824958828193466,56.3020526918622
CGMacros-049,30.128733535771108,21.44577096420816,24.916374312266637,38.45265542601812
CGMacros-014,26.57509367310449,,23.38921812504473,53.760085415367705
CGMacros-028,29.72123856990876,,27.43761033172523,41.977762130950275
CGMacros-029,22.744974869845652,,21.34642962845946,54.90563598331973
CGMacros-001,29.97596212183726,67.98476679410858,29.388457496243678,
CGMacros-015,26.47408239266963,46.52083439086323,26.413274655928024,31.194783750026172
CGMacros-003,25.61077311837827,,23.533008795388795,59.55998245947861
CGMacros-017,31.84336256841712,102.571290285383,31.14835675812149,54.827560913067714
CGMacros-016,24.814871731930335,,24.368475588642845,53.4639687005695
CGMacros-002,25.640907780704524,26.693236209244017,24.0240949726742,46.253714117566176
CGMacros-006,17.2719208425397,17.00448084813259,17.067560040356124,33.870945337439984
CGMacros-012,24.107830245568874,,20.6815327321558,40.48236537965958
CGMacros-013,31.063763297310512,25.693896707461075,30.50304921542946,64.63118616695638
CGMacros-007,34.0998157790247,12.498366306464947,33.93036806868718,92.53858112634897
CGMacros-039,35.9719532404444,,31.79428989476545,37.91413719855822
CGMacros-011,27.218225195721224,,26.162449004669472,49.75037341601033
CGMacros-005,27.282226452007972,53.44060052806172,22.070511810162653,49.95246374582136
CGMacros-004,22.092676247688136,,21.817556368803384,57.80935499374983
CGMacros-010,32.01177864056004,,30.936039780593084,62.2013340363872
CGMacros-038,30.438206188520613,,27.135785718402786,47.65396022413294
