subject,overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
LIB193588,32.06846112960402,28.580578062369245,31.501942416278297,33.59762527742079,23.52253756260434,19.7546468401487,23.274660969719488,24.61961488250653,68.19143016138007,27.501391207568172,0.2726766833611575,3.9899833055091825,0.044518642181413465
LIB193563,30.964902039450433,17.620241193837195,28.666696725517543,35.44263547852876,23.111301921219276,11.378048780487806,21.56654789352337,27.32064075630252,73.27465922507244,23.408822582376303,0.23612750885478156,3.0803906836964687,0.0
LIB193577,39.81963167504648,31.171736780504283,34.28288650380347,43.65346991408666,28.98336915064568,21.372826086956522,24.83441301207065,32.26361276217804,73.14476002400728,23.705252560453815,0.7298987434899614,2.3620065439197693,0.058082128129174654
LIB193946,37.635755235799465,26.383998647198734,35.71510376961754,41.6557774452697,27.43576958404409,16.706293706293707,26.453406813627254,30.72620215897939,65.8050124655557,29.103792153260727,0.5379871407951712,4.47447841490618,0.07872982548222018
LIB193952,25.41961106126575,19.706488246573656,26.122243809091547,27.707312882446313,18.481512255920233,12.316049382716049,19.58783783783784,20.342245989304814,70.50270045700042,23.30702118820108,0.0,6.1902783547985045,0.0
LIB193985,31.22116218180227,23.48860864360868,27.41368591994269,35.84013992232288,23.582625770440536,17.04334121355398,20.91161189979814,27.368349423723046,74.30046726423156,23.672296867329685,0.09272558680751258,1.9217832403047217,0.012727041326521336
LIB194032,33.68208118291259,37.42516342172546,29.192240358637388,37.62064762183483,24.071751959284352,23.330357142857142,20.2083176750595,27.977142135505463,77.90926405845067,20.523308458488152,0.4433759015830393,1.1084397539575983,0.015611827520529552
LIB193991,40.53014759171215,43.37720176144447,35.40374029329453,46.889954079956844,29.331040111940297,30.51530612244898,25.68474440092397,34.59958841687491,66.37709888059702,30.019822761194032,0.6763059701492536,2.79267723880597,0.13409514925373134
LIB193749,32.27307378331047,28.01023358938403,31.303763304117243,35.57282835028005,23.355141325536064,18.846248462484624,23.163410301953817,25.347079037800686,66.75194931773879,27.40009746588694,0.341130604288499,5.445906432748538,0.060916179337231965
LIB194026,27.26757639406373,22.42713405964321,25.334787834434,30.659044901682016,19.821053388976832,15.744313011828936,18.612706819673615,22.21123502684841,78.80990070513742,19.88631457763707,0.06619657504676932,1.2073679666139012,0.030220175564829473
